epoch,loss,mae,val_loss,val_mae
0,1.008230447769165,0.8395847678184509,0.9678481221199036,0.8287651538848877
1,0.7573791146278381,0.7233719229698181,0.3111860454082489,0.4470464885234833
2,0.16705359518527985,0.32300564646720886,0.16020798683166504,0.3215100169181824
3,0.11413658410310745,0.2668960392475128,0.07356099784374237,0.22764794528484344
4,0.09092114120721817,0.24350760877132416,0.059767816215753555,0.20171326398849487
5,0.0879061222076416,0.2400677353143692,0.06335446983575821,0.20027483999729156
6,0.05982606112957001,0.20094488561153412,0.05854402855038643,0.18547827005386353
7,0.06293957680463791,0.20358838140964508,0.09229887276887894,0.2519828677177429
8,0.0706847608089447,0.21307186782360077,0.04667932167649269,0.16620557010173798
9,0.04270033538341522,0.16727647185325623,0.0361921489238739,0.15318064391613007
10,0.0408368855714798,0.16403800249099731,0.02724297344684601,0.1319572627544403
11,0.03478608652949333,0.15307293832302094,0.02403656765818596,0.11555348336696625
12,0.03352702036499977,0.14592956006526947,0.03324894607067108,0.14155419170856476
13,0.03669286146759987,0.15450412034988403,0.024761641398072243,0.1304076761007309
14,0.03533611074090004,0.15383505821228027,0.06213774159550667,0.21582992374897003
15,0.03453339636325836,0.15003177523612976,0.030361013486981392,0.13657574355602264
16,0.022016333416104317,0.1189214289188385,0.014702191576361656,0.09949415177106857
17,0.015197763219475746,0.09831006079912186,0.00923924334347248,0.08016817271709442
18,0.010337349958717823,0.08344168215990067,0.006370666436851025,0.058082085102796555
19,0.007832571864128113,0.07034682482481003,0.005712280049920082,0.05943574011325836
20,0.006219865288585424,0.06259775906801224,0.004897432867437601,0.04846934229135513
21,0.007904356345534325,0.07053350657224655,0.011613585986196995,0.08725874125957489
22,0.00821650866419077,0.07134325802326202,0.006907053291797638,0.06430697441101074
23,0.011255264282226562,0.08571381121873856,0.013464757241308689,0.10097645223140717
24,0.008411871269345284,0.07534073293209076,0.004584592301398516,0.05306752771139145
25,0.008693208917975426,0.07352069765329361,0.026255793869495392,0.13457061350345612
26,0.00647432915866375,0.060565683990716934,0.002828356809914112,0.041808631271123886
27,0.0031437494326382875,0.0442192368209362,0.00258543249219656,0.037831734865903854
28,0.004378088284283876,0.05222291871905327,0.004162516910582781,0.0541405975818634
29,0.0041228714399039745,0.05116475746035576,0.002669651061296463,0.04097646102309227
30,0.0036493728403002024,0.04737691953778267,0.01163502037525177,0.09551963955163956
31,0.004909492563456297,0.05517164245247841,0.0033605063799768686,0.04460999369621277
32,0.0027792956680059433,0.04076116904616356,0.0028777404222637415,0.044487375766038895
33,0.002858191728591919,0.04143509641289711,0.003413659520447254,0.04737451672554016
34,0.0034498742315918207,0.04769110307097435,0.007263180799782276,0.0714779943227768
35,0.0030342573300004005,0.04337553679943085,0.0019796695560216904,0.0347067154943943
36,0.0048000747337937355,0.05241382494568825,0.0072882771492004395,0.07210831344127655
37,0.005335074383765459,0.05855357274413109,0.005672134924679995,0.058132365345954895
38,0.0035653128288686275,0.047451552003622055,0.004814612679183483,0.058590080589056015
39,0.0037837601266801357,0.04874043166637421,0.005111572332680225,0.06122639775276184
40,0.002678449032828212,0.03979643061757088,0.0013683205470442772,0.02806929685175419
41,0.00194223050493747,0.03400406613945961,0.0017739281756803393,0.03479332476854324
