epoch,loss,mae,val_loss,val_mae
0,1.066831111907959,0.8561646938323975,0.479369193315506,0.6289084553718567
1,0.9725286960601807,0.8361822962760925,0.5560672283172607,0.6700868010520935
2,0.9981148838996887,0.8547952771186829,0.5613272190093994,0.672666609287262
3,0.9997215867042542,0.8556288480758667,0.5524898767471313,0.6680437922477722
4,0.9945305585861206,0.8527669906616211,0.548942506313324,0.6659641265869141
5,0.9888843894004822,0.849876344203949,0.5421470999717712,0.6620979309082031
6,0.9792649149894714,0.8455023169517517,0.5155676603317261,0.6478084921836853
7,0.9557345509529114,0.8298988938331604,0.5021111369132996,0.6382176280021667
8,0.9110041856765747,0.8081721663475037,0.37214961647987366,0.5498288869857788
9,0.8367249369621277,0.7506710886955261,0.298770010471344,0.4966146647930145
10,0.5957155227661133,0.6226874589920044,0.14279323816299438,0.3476211130619049
11,0.6359362602233887,0.6801171898841858,1.4861063957214355,1.1382007598876953
12,0.8701649308204651,0.7471112608909607,0.2557656168937683,0.38807904720306396
13,0.6274212002754211,0.615772545337677,0.25090402364730835,0.45010456442832947
14,0.6618931293487549,0.6612205505371094,0.26653578877449036,0.46164390444755554
15,0.6294686794281006,0.6342955827713013,0.15363706648349762,0.3400481939315796
16,0.5421761274337769,0.5782384276390076,0.09247884154319763,0.2544058561325073
17,0.38583579659461975,0.44599491357803345,0.07871072739362717,0.23916611075401306
18,0.2620808184146881,0.36618342995643616,0.12123335152864456,0.28814345598220825
19,0.14911943674087524,0.2987048327922821,0.1560012251138687,0.32469478249549866
20,0.155008003115654,0.3461996018886566,0.20314854383468628,0.43147993087768555
21,0.1330554336309433,0.3124111294746399,0.15880021452903748,0.38246795535087585
22,0.12374313920736313,0.2900090217590332,0.09435226023197174,0.2638552784919739
23,0.10056668519973755,0.2602550983428955,0.015148659236729145,0.10691030323505402
24,0.06987758725881577,0.21208247542381287,0.017525065690279007,0.09533239156007767
25,0.06972546130418777,0.21363744139671326,0.051688339561223984,0.2034345418214798
26,0.06605098396539688,0.21455805003643036,0.08925449103116989,0.2665007710456848
27,0.08230114728212357,0.2477622777223587,0.12519361078739166,0.333912193775177
28,0.0853729322552681,0.2506733536720276,0.05942980945110321,0.20696423947811127
29,0.07479078322649002,0.23409757018089294,0.048069365322589874,0.18935400247573853
30,0.03563695400953293,0.15694326162338257,0.050185754895210266,0.1849401742219925
31,0.03681567683815956,0.14794588088989258,0.027552243322134018,0.14357003569602966
32,0.02436399832367897,0.13039585947990417,0.031763527542352676,0.14796100556850433
33,0.023788051679730415,0.12045617401599884,0.02919948473572731,0.14354604482650757
34,0.02732614241540432,0.13765281438827515,0.02335425466299057,0.12659341096878052
35,0.016565853729844093,0.1029430702328682,0.017086880281567574,0.10872112959623337
36,0.017655042931437492,0.11281651258468628,0.012575885280966759,0.09454010426998138
37,0.011017430573701859,0.08662005513906479,0.009354067035019398,0.08009783923625946
38,0.012349060736596584,0.08505965024232864,0.02021259441971779,0.1171363964676857
39,0.025611011311411858,0.13868536055088043,0.022249238565564156,0.12564317882061005
