epoch,accuracy,loss,val_accuracy,val_loss
0,0.09594594687223434,2.400205135345459,0.07633587718009949,2.3987441062927246
1,0.0972972959280014,2.3976521492004395,0.07633587718009949,2.399022340774536
2,0.09864864498376846,2.397129535675049,0.10687022656202316,2.3993988037109375
3,0.08648648858070374,2.3978755474090576,0.07633587718009949,2.399630308151245
4,0.0972972959280014,2.3977866172790527,0.07633587718009949,2.4000627994537354
5,0.0972972959280014,2.3977441787719727,0.07633587718009949,2.4006168842315674
6,0.0972972959280014,2.397562265396118,0.07633587718009949,2.401519298553467
7,0.0972972959280014,2.3978381156921387,0.07633587718009949,2.401484251022339
8,0.0972972959280014,2.397667169570923,0.07633587718009949,2.402331590652466
9,0.0972972959280014,2.3974437713623047,0.07633587718009949,2.402339458465576
10,0.0972972959280014,2.397413492202759,0.07633587718009949,2.402467727661133
11,0.0972972959280014,2.39723801612854,0.07633587718009949,2.4035491943359375
12,0.0972972959280014,2.3840317726135254,0.07633587718009949,2.3430402278900146
13,0.10540540516376495,2.195237159729004,0.1450381726026535,2.0843706130981445
14,0.204054057598114,2.083613157272339,0.15267175436019897,2.1114189624786377
15,0.18108108639717102,1.9233429431915283,0.1450381726026535,1.672347068786621
16,0.295945942401886,1.5303586721420288,0.1221374049782753,3.264387607574463
17,0.37567567825317383,1.6550447940826416,0.442748099565506,1.2082467079162598
18,0.3864865005016327,1.3518078327178955,0.38167938590049744,1.2432962656021118
19,0.6472973227500916,0.8990370631217957,0.6641221642494202,0.6332942843437195
20,0.6432432532310486,0.9134123921394348,0.8549618124961853,0.5154943466186523
21,0.7067567706108093,0.7353948354721069,0.8396946787834167,0.4466828405857086
22,0.7364864945411682,0.7118721008300781,0.45038166642189026,1.146403193473816
23,0.7067567706108093,0.7148377299308777,0.8625954389572144,0.4178389608860016
24,0.9229729771614075,0.3161390423774719,0.9770992398262024,0.1611638367176056
25,0.9351351261138916,0.2090989351272583,0.885496199131012,0.29576802253723145
26,0.7054054141044617,0.7212768793106079,0.7557252049446106,0.7334982752799988
27,0.8675675392150879,0.414988249540329,1.0,0.11498258262872696
28,0.9675675630569458,0.17709650099277496,1.0,0.04790977016091347
29,0.9729729890823364,0.1278553307056427,1.0,0.032418277114629745
30,0.9621621370315552,0.155572310090065,0.9236640930175781,0.19568456709384918
31,0.8040540814399719,0.5105015635490417,0.9389312863349915,0.17556340992450714
32,0.9459459185600281,0.21006131172180176,0.9923664331436157,0.10674595087766647
33,0.9675675630569458,0.11843273788690567,0.9923664331436157,0.04672151803970337
34,0.9432432651519775,0.15905097126960754,0.9847328066825867,0.06483414769172668
35,0.8229729533195496,0.5553581118583679,0.580152690410614,1.0872796773910522
36,0.912162184715271,0.285675048828125,0.9770992398262024,0.14203596115112305
37,0.9648648500442505,0.1568751335144043,0.9770992398262024,0.06136895716190338
38,0.9824324250221252,0.0812300369143486,1.0,0.017450252547860146
39,0.9851351380348206,0.058563392609357834,0.9847328066825867,0.030361466109752655
40,0.9837837815284729,0.05727478861808777,1.0,0.010383379645645618
41,0.9716216325759888,0.09730824828147888,1.0,0.015567842870950699
42,0.9824324250221252,0.06428813189268112,1.0,0.015274282544851303
43,0.9837837815284729,0.04316899925470352,1.0,0.015273616649210453
44,0.9945945739746094,0.018216125667095184,0.9694656729698181,0.06745895743370056
