epoch,loss,mae,val_loss,val_mae
0,1.004925012588501,0.8337238430976868,1.0111171007156372,0.8401573896408081
1,0.9782224893569946,0.8266900181770325,0.7706190347671509,0.7412554621696472
2,0.31917741894721985,0.45148223638534546,0.1580701768398285,0.3192874789237976
3,0.12723055481910706,0.28186166286468506,0.1404116004705429,0.2991337776184082
4,0.10871768742799759,0.2615986168384552,0.10406415164470673,0.2659860849380493
5,0.0955364927649498,0.24251879751682281,0.09457792341709137,0.2586284577846527
6,0.09445341676473618,0.2439258098602295,0.1035500019788742,0.25004318356513977
7,0.09225861728191376,0.23450976610183716,0.10516127943992615,0.25861260294914246
8,0.1037360429763794,0.25434985756874084,0.1000775694847107,0.25920021533966064
9,0.07820342481136322,0.21506725251674652,0.05080559477210045,0.1816275715827942
10,0.08044221997261047,0.22427423298358917,0.07636529952287674,0.21739797294139862
11,0.06062394753098488,0.1920156180858612,0.0550311915576458,0.19633632898330688
12,0.08039415627717972,0.22671353816986084,0.05158526822924614,0.18820321559906006
13,0.05801216885447502,0.19581136107444763,0.07901352643966675,0.22717782855033875
14,0.06104608625173569,0.19825400412082672,0.0475861057639122,0.16924752295017242
15,0.05619607865810394,0.18558110296726227,0.04100117087364197,0.1669771820306778
16,0.0520191565155983,0.18461653590202332,0.029857046902179718,0.14109453558921814
17,0.04322187975049019,0.16660207509994507,0.032581061124801636,0.1458781510591507
18,0.03230568394064903,0.14524966478347778,0.103661447763443,0.27438798546791077
19,0.059710122644901276,0.19155728816986084,0.05046490207314491,0.18424759805202484
20,0.031056303530931473,0.14084966480731964,0.021014364436268806,0.11014940589666367
21,0.02739044837653637,0.13165698945522308,0.017813213169574738,0.10439369082450867
22,0.01823705993592739,0.10593577474355698,0.02643655799329281,0.1356121152639389
23,0.02328641153872013,0.11920345574617386,0.021751997992396355,0.1174127459526062
24,0.02672419883310795,0.13128727674484253,0.018686776980757713,0.09948527067899704
25,0.020687153562903404,0.11155443638563156,0.01485127117484808,0.09732994437217712
26,0.013128142803907394,0.08891496062278748,0.011129738762974739,0.07463619112968445
27,0.015528061427175999,0.09875576198101044,0.024578502401709557,0.14033731818199158
28,0.02169450744986534,0.11796806007623672,0.008130311965942383,0.06488214433193207
29,0.011065310798585415,0.0800057128071785,0.01586286537349224,0.10061939060688019
30,0.01241579744964838,0.08412539958953857,0.006047327071428299,0.0555817186832428
31,0.009686768054962158,0.07383125275373459,0.009481986984610558,0.07339011877775192
32,0.011105341836810112,0.0792049840092659,0.006677338853478432,0.06337476521730423
33,0.010240444913506508,0.07665785402059555,0.012676263228058815,0.08617085218429565
34,0.009145737625658512,0.07560897618532181,0.006696714553982019,0.06458378583192825
35,0.007591600064188242,0.06601168215274811,0.006975430529564619,0.06566818803548813
36,0.007386066485196352,0.06453772634267807,0.008665969595313072,0.0723947286605835
