epoch,accuracy,loss,val_accuracy,val_loss
0,0.09375,2.4013004302978516,0.09090909361839294,2.3997819423675537
1,0.09375,2.4014856815338135,0.09090909361839294,2.398036241531372
2,0.09375,2.397562026977539,0.09090909361839294,2.3976290225982666
3,0.09375,2.3983500003814697,0.09090909361839294,2.3972580432891846
4,0.09375,2.3950698375701904,0.09090909361839294,2.3953139781951904
5,0.125,2.3922085762023926,0.09090909361839294,2.3936424255371094
6,0.1875,2.392014980316162,0.1818181872367859,2.3902523517608643
7,0.1875,2.3864517211914062,0.1818181872367859,2.3851563930511475
8,0.1875,2.377742290496826,0.09090909361839294,2.3786795139312744
9,0.1875,2.3700337409973145,0.1818181872367859,2.3788907527923584
10,0.1875,2.364093780517578,0.1818181872367859,2.35408616065979
11,0.1875,2.346118927001953,0.1818181872367859,2.344468116760254
12,0.1875,2.325113296508789,0.1818181872367859,2.321552038192749
13,0.1875,2.283388137817383,0.1818181872367859,2.2761969566345215
14,0.1875,2.2243294715881348,0.1818181872367859,2.2918739318847656
15,0.1875,2.1993768215179443,0.27272728085517883,2.2518625259399414
16,0.1875,2.1801652908325195,0.1818181872367859,2.167772054672241
17,0.1875,2.1190123558044434,0.1818181872367859,2.1044933795928955
18,0.265625,2.036525011062622,0.1818181872367859,2.0372164249420166
19,0.265625,1.9651000499725342,0.1818181872367859,1.9731239080429077
20,0.1875,1.9145104885101318,0.27272728085517883,1.9842623472213745
21,0.34375,1.9492346048355103,0.27272728085517883,1.8915467262268066
22,0.34375,1.8477022647857666,0.3636363744735718,1.8372944593429565
23,0.34375,1.7861030101776123,0.27272728085517883,1.7900437116622925
24,0.328125,1.722868800163269,0.27272728085517883,1.7855280637741089
25,0.28125,1.7072516679763794,0.3636363744735718,1.8044711351394653
26,0.34375,1.7582688331604004,0.27272728085517883,1.6668645143508911
27,0.3125,1.6752569675445557,0.27272728085517883,1.6858782768249512
28,0.328125,1.6591023206710815,0.3636363744735718,1.5770686864852905
29,0.375,1.567493200302124,0.27272728085517883,1.6550567150115967
30,0.34375,1.5300172567367554,0.4545454680919647,1.4923419952392578
31,0.484375,1.438288688659668,0.27272728085517883,1.4933279752731323
32,0.421875,1.3943828344345093,0.4545454680919647,1.3074554204940796
33,0.453125,1.369504451751709,0.3636363744735718,1.3360148668289185
34,0.4375,1.3564515113830566,0.4545454680919647,1.2293602228164673
35,0.484375,1.2113699913024902,0.4545454680919647,1.2945265769958496
36,0.46875,1.2317619323730469,0.5454545617103577,1.1942185163497925
37,0.578125,1.1170563697814941,0.5454545617103577,1.0708292722702026
38,0.546875,1.0769939422607422,0.5454545617103577,1.0611023902893066
39,0.5625,0.9861658811569214,0.5454545617103577,1.0077804327011108
40,0.59375,0.9631859064102173,0.7272727489471436,0.9990705847740173
41,0.71875,0.9615030884742737,0.7272727489471436,0.9359645843505859
42,0.640625,1.0627174377441406,0.6363636255264282,1.077828288078308
43,0.703125,0.9882680177688599,0.6363636255264282,0.9820568561553955
44,0.640625,0.8369215726852417,0.9090909361839294,0.8034553527832031
45,0.625,0.9756421446800232,0.7272727489471436,0.6886968612670898
46,0.71875,0.7165824174880981,0.6363636255264282,0.8501613736152649
47,0.703125,0.7221754789352417,0.9090909361839294,0.6640875339508057
48,0.796875,0.6908245086669922,0.8181818127632141,0.5779655575752258
49,0.765625,0.6103358268737793,0.7272727489471436,0.6780961751937866
50,0.75,0.6167846322059631,0.8181818127632141,0.6370933055877686
51,0.625,0.751604437828064,0.7272727489471436,0.5525219440460205
52,0.765625,0.538567066192627,0.9090909361839294,0.4113442599773407
53,0.859375,0.4081716537475586,0.9090909361839294,0.39136946201324463
